,FLIGHT,DISTANCE,CRS_ELAPSED_TIME
163716,MCO|BOS|WN,1121.0,175.0
163741,MCO|CLE|WN,895.0,150.0
163836,MCO|PWM|WN,1214.0,180.0
163999,MDW|PBI|WN,1128.0,170.0
164016,MDW|PNS|WN,781.0,125.0
164138,MSP|MCO|WN,1310.0,185.0
164149,MSP|RSW|WN,1416.0,200.0
164153,MSP|TPA|WN,1306.0,180.0
164338,PBI|BDL|WN,1133.0,165.0
164349,PBI|PIT|WN,952.0,155.0
164792,BOS|MCO|WN,1121.0,195.0
165039,PIT|PBI|WN,952.0,155.0
165050,PNS|MDW|WN,781.0,145.0
165071,PWM|MCO|WN,1214.0,205.0
165140,RSW|CLE|WN,1025.0,165.0
165146,RSW|DEN|WN,1607.0,255.0
165169,RSW|MSP|WN,1416.0,230.0
165687,TPA|MSP|WN,1306.0,205.0
170074,DEN|CLT|UA,1337.0,192.0
170906,CHS|EWR|UA,628.0,120.0
170915,BDL|IAD|UA,326.0,87.0
187644,MCO|MSP|WN,1310.0,210.0
189816,PBI|MDW|WN,1128.0,195.0
250184,LAX|SEA|NK,954.0,163.0
255154,JAX|DTW|EV,813.0,145.0
258888,SEA|LAX|NK,954.0,153.0
259580,LAX|PDX|NK,834.0,130.0
259587,PDX|LAX|NK,834.0,140.0
260309,IAH|GRR|OO,1042.0,155.0
261020,HDN|IAH|OO,985.0,162.0
262114,CAE|ORD|OO,666.0,127.0
264793,FCA|MSP|OO,1026.0,153.0
264815,MSP|FCA|OO,1026.0,179.0
265032,ATL|ILM|OO,377.0,77.0
265490,ORD|TUL|OO,585.0,119.0
267404,PHX|ROW|OO,433.0,94.0
267433,ROW|PHX|OO,433.0,104.0
270895,SDF|IAH|OO,788.0,147.0
270903,DEN|RNO|OO,804.0,146.0
272713,APN|PLN|OO,69.0,47.0
272933,IAH|RIC|OO,1157.0,165.0
273604,RSW|ORD|OO,1120.0,189.0
276058,LAS|DEN|OO,628.0,117.0
278060,RDU|DTW|OO,501.0,108.0
281419,MTJ|ORD|OO,1081.0,168.0
281944,DTW|MCI|OO,629.0,124.0
281969,AVP|DTW|OO,399.0,103.0
282639,BDL|DTW|OO,549.0,130.0
282654,DTW|BDL|OO,549.0,106.0
282675,MCI|DTW|OO,629.0,109.0
285543,IAH|MAF|OO,429.0,87.0
286122,PLN|APN|OO,69.0,42.0
288329,ORD|MLI|OO,139.0,57.0
290632,DTW|AVP|OO,399.0,81.0
294044,MSP|SLC|OO,991.0,177.0
294521,CHA|DTW|OO,505.0,111.0
294734,DTW|MEM|OO,610.0,123.0
294738,MEM|DTW|OO,610.0,113.0
294776,CHS|IAH|OO,925.0,161.0
294803,MAF|IAH|OO,429.0,85.0
295468,DFW|CVG|OO,812.0,126.0
295513,OKC|DTW|OO,900.0,145.0
296007,DTW|TYS|OO,443.0,93.0
296668,IAD|MSP|OO,908.0,169.0
296672,TYS|DTW|OO,443.0,100.0
296749,MSP|IAD|OO,908.0,146.0
297050,DTW|CHA|OO,505.0,103.0
297397,ILM|ATL|OO,377.0,92.0
300579,DTW|RDU|OO,501.0,102.0
301205,SLC|MSP|OO,991.0,149.0
303837,BZN|ORD|OO,1186.0,173.0
306246,ORD|CAE|OO,666.0,116.0
306441,ORD|RSW|OO,1120.0,186.0
306712,IAH|ONT|OO,1334.0,214.0
310446,CWA|ORD|OO,213.0,69.0
310492,ORD|CWA|OO,213.0,66.0
310623,IAH|HDN|OO,985.0,177.0
311802,ONT|IAH|OO,1334.0,191.0
311991,LIT|ORD|OO,552.0,110.0
312784,ORD|BZN|OO,1186.0,202.0
313101,STL|ORD|UA,258.0,77.0
315027,ORD|STL|UA,258.0,78.0
316986,CMH|EWR|UA,463.0,102.0
318881,EWR|IND|UA,645.0,137.0
318929,MSP|EWR|UA,1008.0,164.0
322174,EWR|JAX|UA,820.0,149.0
322540,JAX|EWR|UA,820.0,145.0
322628,BNA|EWR|UA,748.0,130.0
323509,EWR|CHS|UA,628.0,127.0
331384,DSM|IAH|UA,802.0,147.0
340207,ORD|FSD|UA,462.0,104.0
342236,LAX|SAT|UA,1211.0,174.0
343095,IAD|BDL|UA,326.0,81.0
346581,DEN|STL|UA,770.0,125.0
347824,STL|DEN|UA,770.0,150.0
349283,IAH|DSM|UA,802.0,135.0
350696,LAX|MSP|UA,1535.0,218.0
350986,RDU|DEN|UA,1436.0,229.0
352201,CLT|IAD|UA,322.0,83.0
352619,DEN|RDU|UA,1436.0,200.0
352660,IAD|CLT|UA,322.0,92.0
352738,MSP|LAX|UA,1535.0,241.0
354270,ORD|TUL|UA,585.0,119.0
354590,IAH|TUS|UA,936.0,169.0
356909,TUS|IAH|UA,936.0,141.0
404614,BUF|PHL|AA,279.0,85.0
408326,IND|PHL|AA,588.0,115.0
421319,CMH|CLT|AA,347.0,86.0
424070,CLT|CMH|AA,347.0,82.0
