,AIRPORT_ID,CODE,CITY,STATE
116823,12402,ITO,Hilo, HI
123876,12898,LBE,Latrobe, PA
124418,10135,ABE,Allentown/Bethlehem/Easton, PA
124419,10685,BMI,Bloomington/Normal, IL
124611,11146,CRW,Charleston/Dunbar, WV
125553,10158,ACY,Atlantic City, NJ
126292,14222,PPG,Pago Pago, TT
130404,12265,IAG,Niagara Falls, NY
130894,10155,ACT,Waco, TX
130944,13377,MLU,Monroe, LA
130971,11982,GRK,Killeen, TX
131067,14814,SHV,Shreveport, LA
131094,11778,FSM,Fort Smith, AR
131124,13158,MAF,Midland/Odessa, TX
131150,14674,SAF,Santa Fe, NM
131158,12511,JLN,Joplin, MO
131300,13061,LRD,Laredo, TX
131381,10747,BRO,Brownsville, TX
131411,15411,TYR,Tyler, TX
133550,11921,GJT,Grand Junction, CO
133643,16218,YUM,Yuma, AZ
133799,11337,DLH,Duluth, MN
133911,11977,GRB,Green Bay, WI
134076,12884,LAN,Lansing, MI
134659,14689,SBA,Santa Barbara, CA
134815,10372,ASE,Aspen, CO
135261,11413,DRO,Durango, CO
135523,12280,IDA,Idaho Falls, ID
135649,14457,RAP,Rapid City, SD
136468,11648,FCA,Kalispell, MT
136471,13029,LNK,Lincoln, NE
136536,10279,AMA,Amarillo, TX
136554,10561,BFL,Bakersfield, CA
136830,13367,MLI,Moline, IL
137040,13076,LSE,La Crosse, WI
137095,14696,SBN,South Bend, IN
137104,14252,PSC,Pasco/Kennewick/Richland, WA
137253,13433,MOT,Minot, ND
137277,11695,FLG,Flagstaff, AZ
138929,12389,ISN,Williston, ND
138935,11898,GFK,Grand Forks, ND
138944,12003,GTF,Great Falls, MT
138977,11823,FWA,Fort Wayne, IN
139624,13476,MRY,Monterey, CA
139742,13184,MBS,Saginaw/Bay City/Midland, MI
140147,14108,PIA,Peoria, IL
140173,15041,SUN,Sun Valley/Hailey/Ketchum, ID
140199,15389,TWF,Twin Falls, ID
140441,14783,SGF,Springfield, MO
140472,11122,CPR,Casper, WY
140632,10781,BTR,Baton Rouge, LA
140747,14025,PBG,Plattsburgh, NY
141527,11140,CRP,Corpus Christi, TX
141991,11003,CID,Cedar Rapids/Iowa City, IA
142946,14698,SBP,San Luis Obispo, CA
143305,14543,RKS,Rock Springs, WY
143336,11076,CMX,Hancock/Houghton, MI
143418,13388,MMH,Mammoth Lakes, CA
143630,14150,PLN,Pellston, MI
143748,11525,EKO,Elko, NV
144429,11865,GCC,Gillette, WY
146110,10469,AZO,Kalamazoo, MI
148619,13264,MFR,Medford, OR
149636,14905,SMX,Santa Maria, CA
150251,11603,EUG,Eugene, OR
151659,14633,RST,Rochester, MN
153755,15380,TVC,Traverse City, MI
155428,14952,SPI,Springfield, IL
155521,14794,SGU,St. George, UT
156257,12156,HLN,Helena, MT
160291,14489,RDM,Bend/Redmond, OR
161939,10157,ACV,Arcata/Eureka, CA
163167,11471,EAU,Eau Claire, WI
164613,11447,DVL,Devils Lake, ND
164635,12519,JMS,Jamestown, ND
164688,13344,MKG,Muskegon, MI
168901,12255,HYS,Hays, KS
168932,14006,PAH,Paducah, KY
176139,11097,COD,Cody, WY
176372,10141,ABR,Aberdeen, SD
176468,12397,ITH,Ithaca/Cortland, NY
176495,10333,APN,Alpena, MI
176557,11587,ESC,Escanaba, MI
176630,10631,BJI,Bemidji, MN
178173,13459,MQT,Marquette, MI
179072,11013,CIU,Sault Ste. Marie, MI
179222,10577,BGM,Binghamton, NY
179277,14520,RHI,Rhinelander, WI
179407,13127,LWS,Lewiston, ID
179418,12335,IMT,Iron Mountain/Kingsfd, MI
179530,10739,BRD,Brainerd, MN
179628,12343,INL,International Falls, MN
179674,14113,PIH,Pocatello, ID
179815,12016,GUM,Guam, TT
180192,12129,HIB,Hibbing, MN
181771,10779,BTM,Butte, MT
181887,10918,CDC,Cedar City, UT
183581,13964,OTH,North Bend/Coos Bay, OR
184231,14487,RDD,Redding, CA
224566,13296,MHT,Manchester, NH
231725,11953,GNV,Gainesville, FL
286590,13241,MEI,Meridian, MS
286611,14109,PIB,Hattiesburg/Laurel, MS
288848,10728,BPT,Beaumont/Port Arthur, TX
288898,12891,LAW,Lawton/Fort Sill, OK
289026,10185,AEX,Alexandria, LA
289736,15401,TXK,Texarkana, AR
290255,14588,ROW,Roswell, NM
292814,11577,ERI,Erie, PA
294366,11049,CLL,College Station/Bryan, TX
294619,12177,HOB,Hobbs, NM
